k,WCSS,Silhouette
3,158744.97108013937,0.335580238662684
4,104366.15145556201,0.40546302077733304
5,97211.84353980477,0.3575963460506624
6,68275.94428646986,0.4155672337697055
7,51448.361262593244,0.4420336177238127
8,44640.02804853042,0.43280878015743623
